step,par,f
1,a,2.9594489303332097
1,b,0.24488764603574273
1,r,0.2548549141442207
2,a,0.33776258604211545
2,b,0.25066410572710685
2,r,0.0748508653016585
3,a,0.5229552579909664
3,b,0.7819133201236951
3,r,0.14856117734145527
4,a,1.0638292458913747
4,b,1.1653127144007474
4,r,0.2064465981611064
5,a,2.7932020580995203
5,b,5.4234401005942985
5,r,1.6023732794802894
6,a,0.9827082871861309
6,b,0.707172476841236
6,r,1.1223324083330521
7,a,0.5711636826228647
7,b,0.15677915911739476
7,r,0.5343773322507643
8,a,1.8369858580702882
8,b,0.5726054846356793
8,r,0.7360702127371597
9,a,2.14064355863843
9,b,0.38054686000734944
9,r,0.555186530138169
10,a,4.681120169245588
10,b,0.5673478625473939
10,r,0.3047312609505713
11,a,1.3568691729033795
11,b,0.13426905632208644
11,r,0.7790951435629613
12,a,0.7438283048755651
12,b,0.46545585790497485
12,r,0.39588980645811095
13,a,0.15658062177348933
13,b,2.1220247572782913
13,r,0.5394011067342932
14,a,1.4429319873989404
14,b,0.6696250494199616
14,r,0.24749388485467838
15,a,0.1767041183925129
15,b,0.37390118899110547
15,r,0.28749583438031856
16,a,1.790334878374584
16,b,0.8704259914817067
16,r,0.5271759517435611
17,a,4.5702242417426024
17,b,0.7921896549188734
17,r,1.5018192014723424
18,a,0.7853753764518407
18,b,2.0241964887669246
18,r,0.48518489361398737
19,a,0.6236268830684385
19,b,0.3163950228020866
19,r,0.46873444632517064
20,a,0.6607043194300524
20,b,1.3853819473999773
20,r,0.6918354001825222
21,a,0.8160794866593006
21,b,3.0365975396959133
21,r,0.3141710710998708
22,a,1.2250399186534247
22,b,0.12818210353556952
22,r,0.3542371001282991
23,a,1.5843257554381331
23,b,0.8344977075942368
23,r,0.14072133734282447
24,a,0.27534799817393857
24,b,1.5968511839966097
24,r,0.2357524958449975
25,a,0.1304722370314447
25,b,0.4941701511709467
25,r,0.42362268984979573
26,a,0.9926955862248222
26,b,0.3710086453037018
26,r,0.39084994445118404
27,a,1.1786327429910004
27,b,0.3090091342786374
27,r,0.32616040808410574
28,a,0.4421363229513568
28,b,0.8334061262950112
28,r,0.317136262278808
29,a,0.5732200782819709
29,b,0.08494795598533376
29,r,0.236527090984433
30,a,0.647648493587788
30,b,0.2110400815642311
30,r,0.5712314275118012
31,a,0.17506801834387978
31,b,0.13420965510533905
31,r,0.583267481223688
32,a,1.369908606897426
32,b,0.996773651273958
32,r,0.03278330835741755
33,a,0.24840159374304083
33,b,0.9837389314110725
33,r,0.08399949250780132
34,a,0.6413538166467124
34,b,0.37641077136499257
34,r,0.43129931438465263
35,a,0.006075242988637392
35,b,0.31509206144182206
35,r,0.3645827956189307
36,a,4.4256808903078575
36,b,0.6382868774712435
36,r,0.2432932920801935
37,a,0.47883065379103373
37,b,1.1850250426670677
37,r,0.08151157190878751
38,a,2.4888898487414086
38,b,0.7683678978580875
38,r,0.5304761661957067
39,a,1.7736235348432339
39,b,0.3089780736094157
39,r,1.213119261759251
40,a,1.238531150748562
40,b,1.0848009491686723
40,r,0.6945754780409377
41,a,0.2569432600122262
41,b,0.0977361821279346
41,r,0.4096952276974174
42,a,0.04174264420770797
42,b,0.19421907873096997
42,r,0.529125176486149
43,a,1.3238960754355695
43,b,1.380865826372081
43,r,0.42268165072058095
44,a,2.6800361527623053
44,b,0.10428542087426891
44,r,0.17003531698516597
45,a,3.095870614714428
45,b,1.896322380297905
45,r,0.15433556108409374
46,a,1.4952018403048184
46,b,0.13907787071681157
46,r,0.846003625349638
47,a,0.5382002183526714
47,b,0.0074133853161742515
47,r,0.2521584483831158
48,a,1.0499224454649094
48,b,0.8012012354647423
48,r,0.15941175830543616
49,a,0.28034118932964935
49,b,0.014792757720836594
49,r,0.43821094301050756
50,a,1.662912983679159
50,b,2.061228317923661
50,r,0.38416601316341015
51,a,1.588545541475317
51,b,1.0121818207634612
51,r,0.1652220198516949
52,a,0.7621420255512774
52,b,1.2214712785904056
52,r,0.5216832278407142
53,a,1.0392987477610034
53,b,0.5284286642752264
53,r,0.2521264692062274
54,a,0.09742177765458908
54,b,0.40532523652629254
54,r,0.7074468329598389
55,a,0.15178496069489203
55,b,1.607607295620485
55,r,0.0810175868078593
56,a,0.9290600982774208
56,b,0.2965725400826589
56,r,0.12102773945942598
57,a,1.4199745436061357
57,b,1.8877082738200992
57,r,0.32581984872574465
58,a,0.4390168412393483
58,b,0.3199955082241906
58,r,0.4840346604130129
59,a,1.7472909090474216
59,b,0.9853292727363073
59,r,0.35862631700007314
60,a,0.862912649003007
60,b,0.8781029271988767
60,r,0.09736028095086004
61,a,0.397557987814061
61,b,0.039933468995668034
61,r,0.8792268149870461
62,a,0.04450558627289706
62,b,1.2493060577054385
62,r,0.2580475350820295
63,a,3.299369690221247
63,b,0.05341755097251752
63,r,0.5052107670215029
64,a,0.31979013856264676
64,b,0.9423231187917744
64,r,0.2568765250722148
65,a,0.7553589774241094
65,b,0.011958868080026839
65,r,0.18581524001395663
66,a,2.432103362792504
66,b,4.105350113355101
66,r,0.03882258864586445
67,a,0.8235587406649003
67,b,1.023079241983488
67,r,0.27243756835548827
68,a,1.4873828686640682
68,b,2.1192504151557796
68,r,0.5770343375619521
69,a,1.4067212863057414
69,b,0.021338832706979373
69,r,0.5511821551379545
70,a,1.1802074325089587
70,b,0.19933000968039846
70,r,0.7416321936602653
71,a,1.4677768053186924
71,b,0.09038136189278664
71,r,0.6735974501038104
72,a,0.4003600128353495
72,b,0.21062945194141214
72,r,0.2922053578091933
73,a,0.9303628751879282
73,b,0.25739938312453164
73,r,0.1440819832045348
74,a,0.6189030326240752
74,b,0.29403398337999637
74,r,0.11046367343254153
75,a,1.487637354820529
75,b,0.05525990818549411
75,r,0.22694731848152483
76,a,0.36941593658469196
76,b,2.388535430138364
76,r,0.32588650254175977
77,a,4.830756027417067
77,b,1.327942329346888
77,r,0.37951597588787844
78,a,1.3058891231826946
78,b,0.429184077555939
78,r,0.3867711997123216
79,a,1.1004366804464334
79,b,0.09188713068095397
79,r,0.8808790369983814
80,a,0.47464363850144864
80,b,0.5021951109647178
80,r,0.4246912511509847
81,a,0.5277381457957411
81,b,0.47026220662764867
81,r,0.43724723163750234
82,a,0.8140373932806897
82,b,0.4494401428288567
82,r,0.4372179899693391
83,a,1.27348954286528
83,b,0.6730213202787105
83,r,0.12061281574903912
84,a,2.282313530918438
84,b,0.6733348060873455
84,r,0.23176555326736858
85,a,0.42059758009735504
85,b,0.2925761870103156
85,r,0.21713641679143655
86,a,0.2758410084937057
86,b,0.05059792769088666
86,r,0.9861939020196315
87,a,1.8634303407577235
87,b,0.12338602542157188
87,r,0.43161838636372685
88,a,2.7580835429775754
88,b,1.1334739266324212
88,r,0.20519193490567997
89,a,0.5428593041865523
89,b,0.6272241448191239
89,r,0.5326528824388302
90,a,0.36647482441320595
90,b,1.7367048502517906
90,r,0.17115696206004838
91,a,6.653028461469876
91,b,0.4340667471449544
91,r,0.1766906922719864
92,a,0.1815052501842034
92,b,1.003188612009968
92,r,0.19539279789790176
93,a,0.8026519544896489
93,b,0.9903863503737635
93,r,0.16774960400755057
94,a,0.18226100365985762
94,b,0.1497528711636361
94,r,0.4868200914307819
95,a,2.1638452761740914
95,b,1.7359218605418612
95,r,0.2948718931341543
96,a,0.7083941625720003
96,b,2.764043423480132
96,r,0.15093419172988734
97,a,1.0125430536648596
97,b,0.05652700679314717
97,r,0.22869379733064935
98,a,0.2690661386909796
98,b,0.10654349866328715
98,r,0.07643637015156758
99,a,2.6238702041489996
99,b,0.07792316692377821
99,r,0.08169015428514946
100,a,0.6613193144447644
100,b,0.5542930143305425
100,r,0.2791205980904526
101,a,0.9575131338620073
101,b,0.47588156927960756
101,r,0.028375876091086376
102,a,0.7522425417218108
102,b,0.489215562019566
102,r,0.6190106080699431
103,a,1.1374347128984752
103,b,0.5678215417786998
103,r,0.31746996673807265
104,a,0.2975209767361036
104,b,0.33959564998819386
104,r,0.672497180070953
105,a,2.8068982354625365
105,b,5.336987113283173
105,r,1.1340291935802274
106,a,0.5565486968624453
106,b,0.7692550270312705
106,r,0.5749517441052624
107,a,0.2204306831874986
107,b,0.5914063287369109
107,r,0.05461087766142187
108,a,3.0647988204910956
108,b,1.216233458920687
108,r,0.15952633873300182
109,a,1.341258002516457
109,b,0.1415495051678583
109,r,0.2371969507805586
110,a,1.510454565344621
110,b,0.589011198599309
110,r,0.27225941882935867
111,a,1.4252981643370288
111,b,0.2753488519647425
111,r,0.18466472853258709
112,a,0.03862525616062266
112,b,1.3036772323222192
112,r,0.5182637193323739
113,a,4.501144883730043
113,b,0.3270336717328078
113,r,0.09992706667539863
114,a,0.4318863455057442
114,b,0.5972798400971505
114,r,0.19114828637504766
115,a,0.3473423289119756
115,b,1.721209027570827
115,r,0.5417795183700227
116,a,0.23217527413271602
116,b,0.4158293123015255
116,r,0.03343567665818435
117,a,2.145297758326852
117,b,0.2727002210036383
117,r,0.3413635279539591
118,a,0.6332255050726612
118,b,0.49639934086274706
118,r,0.08974098629087549
119,a,2.517073561395739
119,b,0.5881085386244499
119,r,0.07791528646036534
120,a,3.6099922114539567
120,b,2.0567257014989115
120,r,0.17693090156947278
121,a,0.19069633297671731
121,b,0.05270924856457092
121,r,0.45112077240087656
122,a,4.36712206749818
122,b,1.0837998270114197
122,r,0.9410784189735087
123,a,2.537125613380952
123,b,0.06564384983878929
123,r,0.2667524516291621
124,a,4.213751008987851
124,b,0.45916330522341814
124,r,0.32661248506518825
125,a,0.5329856429152022
125,b,1.568739577997278
125,r,0.15726413589649116
126,a,0.6423893188868337
126,b,0.5279984123342805
126,r,0.3646060925070626
127,a,0.2838336007543543
127,b,0.60799049139832
127,r,0.03142703212738312
128,a,1.7849358781953695
128,b,1.022297717750014
128,r,0.4000490400717892
129,a,3.518490176794466
129,b,0.12045810009633846
129,r,0.6100797348083988
130,a,1.4305781103986237
130,b,1.2280619607623973
130,r,0.0559704596161541
131,a,0.2367135314431812
