inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,duration,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,do_flux,midge_tubes,tt,ch,tp,or,flag,notes
1,1,2018-06-24,st33,3,0.5,0,2017,2018-06-24 14:11,2018-06-24 15:36,1.42,731.9,731.3,13.9,13.3,135.9,152.9,13.52,15.41,16,0.2135,1,NA,NA,NA,NA,0,
2,2,2018-06-24,st33,3,0.5,1,2012,2018-06-24 14:11,2018-06-24 15:36,1.42,731.9,731.3,13.9,13.6,119.6,130.8,11.9,13.1,23,0.1948,1,NA,NA,NA,NA,0,
3,3,2018-06-24,st33,3,0.5,3,2017,2018-06-24 14:13,2018-06-24 15:38,1.42,731.9,731.3,13.2,13.1,127.6,137.7,12.89,13.94,19.5,0.1445,3,NA,NA,NA,NA,0,
4,4,2018-06-24,st33,4,0.5,5,2012,2018-06-24 14:28,2018-06-24 15:57,1.48,731.9,731.3,14.0,13.0,112.0,117.6,11.12,11.94,21.5,0.1189,14,NA,NA,NA,NA,0,
5,5,2018-06-24,st33,4,0.5,10,2017,2018-06-24 14:29,2018-06-24 15:57,1.47,731.9,731.3,14.0,12.8,111.2,105.3,11.04,10.72,21,-0.0458,0,NA,NA,NA,NA,0,
6,6,2018-06-24,st33,4,0.5,0,2012,2018-06-24 14:30,2018-06-24 15:59,1.48,731.9,731.3,13.6,13.1,122.2,132.2,12.24,13.38,17,0.1307,1,NA,NA,NA,NA,0,
7,7,2018-06-24,st33,4,0.5,1,2017,2018-06-24 14:32,2018-06-24 16:00,1.47,731.9,731.3,13.4,12.9,124.7,139.0,12.55,14.13,22,0.2370,1,NA,NA,NA,NA,0,
8,8,2018-06-24,st33,4,0.5,3,2012,2018-06-24 14:32,2018-06-24 16:01,1.48,731.9,731.3,13.6,13.0,124.9,136.3,12.52,13.83,17.5,0.1546,3,NA,NA,NA,NA,0,
9,9,2018-06-24,st33,4,0.5,5,2017,2018-06-24 14:33,2018-06-24 16:02,1.48,731.9,731.3,13.4,12.8,117.0,130.1,11.77,13.22,23,0.2248,48,NA,NA,NA,NA,0,
10,10,2018-06-24,st33,4,0.5,10,2012,2018-06-24 14:35,2018-06-24 16:03,1.47,731.9,731.3,14.0,12.9,119.8,109.1,11.9,11.09,14,-0.0773,1,NA,NA,NA,NA,0,
11,11,2018-06-24,st33,4,0.5,0,2017,2018-06-24 14:38,2018-06-24 16:04,1.43,731.9,731.3,13.4,13.2,121.5,135.3,12.22,13.66,22,0.2210,12,NA,NA,NA,NA,0,
12,12,2018-06-24,st33,4,0.5,1,2012,2018-06-24 14:37,2018-06-24 16:05,1.47,731.9,731.3,13.7,13.3,121.5,132.4,12.14,13.34,23.5,0.1923,0,NA,NA,NA,NA,0,
13,13,2018-06-24,st33,4,0.5,3,2017,2018-06-24 14:40,2018-06-24 16:06,1.43,731.9,731.3,13.5,12.9,131.9,145.1,13.24,14.72,19,0.1962,0,NA,NA,NA,NA,0,
14,14,2018-06-24,st33,4,0.5,5,2012,2018-06-24 14:39,2018-06-24 16:07,1.47,731.9,731.3,13.8,13.0,125.4,134.5,12.51,13.65,18.5,0.1438,2,NA,NA,NA,NA,0,
15,15,2018-06-24,st33,4,0.5,10,2012,2018-06-24 14:41,2018-06-24 16:09,1.47,731.9,731.3,14.0,12.9,109.5,98.5,10.87,10.01,23,-0.1349,20,NA,NA,NA,NA,0,
1,16,2018-06-28,reyk,2,-0.05,0,2012,2018-06-28 19:55,2018-06-28 21:50,1.92,745.9,745.9,13.2,13.8,98.0,95.8,10.09,9.72,24.0,-0.0463,0,13,0,2,0,0,on shore
2,17,2018-06-28,reyk,2,-0.05,1,2017,2018-06-28 19:55,2018-06-28 21:48,1.88,745.9,745.9,12.5,13.4,96.9,97.1,10.13,9.95,27.0,-0.0258,9,9,2,0,0,0,on shore
3,18,2018-06-28,reyk,2,-0.05,3,2012,2018-06-28 19:58,2018-06-28 21:52,1.90,745.9,745.9,12.5,13.4,96.8,93.1,10.12,9.54,27.5,-0.0839,34,71,1,2,0,0,on shore
4,19,2018-06-28,reyk,2,-0.05,7,2017,2018-06-28 19:57,2018-06-28 21:53,1.93,745.9,745.9,12.3,12.8,98.1,97.5,10.30,10.12,23.5,-0.0219,3,NA,NA,NA,NA,0,on shore
5,20,2018-06-28,reyk,2,-0.05,10,2012,2018-06-28 20:00,2018-06-28 21:54,1.90,745.9,745.9,13.1,13.6,99.5,98.5,10.27,10.05,28.5,-0.0330,4,19,4,1,0,0,on shore
6,21,2018-06-28,reyk,2,-0.05,0,2017,2018-06-28 20:00,2018-06-28 21:56,1.93,745.9,745.9,13.2,14.0,103.4,108.0,10.64,10.92,22.5,0.0326,32,52,4,3,0,0,on shore
7,22,2018-06-28,reyk,2,-0.05,1,2012,2018-06-28 20:01,2018-06-28 21:57,1.93,745.9,745.9,12.5,13.6,98.9,105.8,10.34,10.79,22.0,0.0512,18,29,4,3,0,0,on shore
