sampledate,site,time,depth,par
2018-06-24,st33,2018/06/24 11:46,0.00,1606.0
2018-06-24,st33,2018/06/24 11:46,0.50,1120.0
2018-06-24,st33,2018/06/24 11:46,1.00,990.0
2018-06-24,st33,2018/06/24 11:46,1.50,840.0
2018-06-24,st33,2018/06/24 11:46,2.00,700.0
2018-06-24,st33,2018/06/24 11:46,2.50,560.0
2018-06-24,st33,2018/06/24 11:46,3.00,435.0
2018-06-24,st33,2018/06/24 14:05,0.00,970.0
2018-06-24,st33,2018/06/24 14:05,0.50,680.0
2018-06-24,st33,2018/06/24 14:05,1.00,630.0
2018-06-24,st33,2018/06/24 14:05,1.50,370.0
2018-06-24,st33,2018/06/24 14:05,2.00,180.0
2018-06-24,st33,2018/06/24 14:05,2.50,190.0
2018-06-24,st33,2018/06/24 14:05,3.00,166.0
2018-06-24,st33,2018/06/24 16:30,0.00,405.0
2018-06-24,st33,2018/06/24 16:30,0.50,300.0
2018-06-24,st33,2018/06/24 16:30,1.00,260.0
2018-06-24,st33,2018/06/24 16:30,1.50,230.0
2018-06-24,st33,2018/06/24 16:30,2.00,220.0
2018-06-24,st33,2018/06/24 16:30,2.50,180.0
2018-06-24,st33,2018/06/24 16:30,3.00,130.0
2018-06-27,btl,2018/06/27 15:00,-0.05,850.0
2018-06-27,btl,2018/06/27 15:00,0.00,520.0
2018-06-27,btl,2018/06/27 15:00,0.50,70.0
2018-06-27,btl,2018/06/27 15:00,1.00,420.0
2018-06-27,btl,2018/06/27 15:05,-0.05,600.0
2018-06-27,btl,2018/06/27 15:05,0.00,515.0
2018-06-27,btl,2018/06/27 15:05,0.50,390.0
2018-06-27,btl,2018/06/27 15:05,1.00,280.0
2018-06-27,btl,2018/06/27 15:10,-0.05,780.0
2018-06-27,btl,2018/06/27 15:10,0.00,570.0
2018-06-27,btl,2018/06/27 15:10,0.50,380.0
2018-06-27,btl,2018/06/27 15:10,1.00,280.0
2018-06-27,btl,2018/06/27 15:15,-0.05,510.0
2018-06-27,btl,2018/06/27 15:15,0.00,420.0
2018-06-27,btl,2018/06/27 15:15,0.50,330.0
2018-06-27,btl,2018/06/27 15:15,1.00,240.0
2018-06-28,reyk,2018/06/28 16:24,0.00,63.0
2018-06-28,reyk,2018/06/28 16:24,0.50,48.0
2018-06-28,reyk,2018/06/28 16:24,1.00,36.0
2018-06-28,reyk,2018/06/28 16:24,1.50,30.0
2018-06-28,reyk,2018/06/28 16:24,2.00,24.0
2018-06-28,reyk,2018/06/28 16:24,2.50,19.3
2018-06-28,reyk,2018/06/28 16:24,3.00,15.6
2018-06-28,reyk,2018/06/28 16:47,0.00,133.0
2018-06-28,reyk,2018/06/28 16:47,0.50,67.0
2018-06-28,reyk,2018/06/28 16:47,1.00,55.0
