inc_id,id,sampledate,site,rack,block,inc_depth,light_trt,probe,time_start,time_end,duration,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,do_flux,flag,notes
1,1,2018-06-24,st33,2,1,0.5,0,2017,2018-06-24 11:34,2018-06-24 16:16,4.70,732.4,731.3,15.8,12.8,112.4,103.4,10.73,10.52,33.0,-0.0147,0,
2,2,2018-06-24,st33,2,1,0.5,1,2017,2018-06-24 11:35,2018-06-24 16:18,4.72,732.4,731.3,15.9,12.7,112.1,109.7,10.69,11.20,33.0,0.0357,0,
3,3,2018-06-24,st33,2,1,0.5,3,2017,2018-06-24 11:36,2018-06-24 16:19,4.72,732.4,731.3,15.6,12.8,110.7,104.9,10.62,10.69,33.0,0.0049,0,
4,4,2018-06-24,st33,2,1,0.5,5,2017,2018-06-24 11:36,2018-06-24 16:21,4.75,732.4,731.3,15.4,12.8,110.7,101.3,10.66,10.32,33.0,-0.0236,0,
5,5,2018-06-24,st33,2,1,0.5,10,2017,2018-06-24 11:37,2018-06-24 16:22,4.75,732.4,731.3,15.1,12.7,109.4,105.9,10.60,10.81,33.0,0.0146,0,
6,6,2018-06-24,st33,2,4,0.5,0,2017,2018-06-24 12:05,2018-06-24 16:24,4.32,732.4,731.3,15.1,13.1,109.0,103.2,10.57,10.44,33.0,-0.0099,0,sample lost; refilled
7,7,2018-06-24,st33,2,2,0.5,1,2017,2018-06-24 11:39,2018-06-24 16:25,4.77,732.4,731.3,14.9,12.8,112.7,104.5,10.97,10.64,33.0,-0.0228,0,
8,8,2018-06-24,st33,2,2,0.5,3,2017,2018-06-24 11:39,2018-06-24 16:26,4.78,732.4,731.3,15.2,12.7,113.2,103.0,10.93,10.52,33.0,-0.0283,0,
9,9,2018-06-24,st33,2,2,0.5,5,2017,2018-06-24 11:40,2018-06-24 16:27,4.78,732.4,731.3,14.9,12.7,112.2,106.1,10.93,10.82,33.0,-0.0076,0,
10,10,2018-06-24,st33,2,2,0.5,10,2012,2018-06-24 11:30,2018-06-24 16:16,4.77,732.4,731.3,14.6,12.9,108.2,103.5,10.61,10.53,33.0,-0.0055,0,
11,11,2018-06-24,st33,3,3,0.5,0,2012,2018-06-24 11:31,2018-06-24 15:41,4.17,732.4,731.3,14.4,13.2,110.4,101.8,10.88,10.28,33.0,-0.0475,0,
12,12,2018-06-24,st33,3,3,0.5,1,2012,2018-06-24 11:32,2018-06-24 15:42,4.17,732.4,731.3,14.6,13.2,110.2,103.2,10.81,10.43,33.0,-0.0301,0,
13,13,2018-06-24,st33,3,3,0.5,3,2012,2018-06-24 11:33,2018-06-24 15:44,4.18,732.4,731.3,15.0,13.1,111.3,105.0,10.82,10.63,33.0,-0.0150,0,
