Plot Title: JP_E5_Incubator_21Jul19,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)","Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)",Coupler Attached (LGR S/N: 10517222),Host Connected (LGR S/N: 10517222),Stopped (LGR S/N: 10517222),End Of File (LGR S/N: 10517222)
1,2019-07-22 10:00:00,16.903,516.7,,,,
2,2019-07-22 10:05:00,15.951,742.7,,,,
3,2019-07-22 10:10:00,14.996,850.4,,,,
4,2019-07-22 10:15:00,14.325,1130.2,,,,
5,2019-07-22 10:20:00,13.461,958,,,,
6,2019-07-22 10:25:00,12.98,1130.2,,,,
7,2019-07-22 10:30:00,12.98,1248.6,,,,
8,2019-07-22 10:35:00,12.98,1108.7,,,,
9,2019-07-22 10:40:00,13.461,9300.1,,,,
10,2019-07-22 10:45:00,13.558,7233.4,,,,
11,2019-07-22 10:50:00,13.558,8266.7,,,,
12,2019-07-22 10:55:00,13.269,6200,,,,
13,2019-07-22 11:00:00,12.883,3961.1,,,,
14,2019-07-22 11:05:00,12.207,2927.8,,,,
15,2019-07-22 11:10:00,11.819,3100,,,,
16,2019-07-22 11:15:00,11.625,8266.7,,,,
17,2019-07-22 11:20:00,10.455,24800.2,,,,
18,2019-07-22 11:25:00,10.748,34444.7,,,,
19,2019-07-22 11:30:00,12.304,30311.3,,,,
20,2019-07-22 11:35:00,13.173,28933.5,,,,
21,2019-07-22 11:40:00,13.173,30311.3,,,,
22,2019-07-22 11:45:00,13.076,24800.2,,,,
23,2019-07-22 11:50:00,13.076,24800.2,,,,
24,2019-07-22 11:55:00,13.076,20666.8,,,,
25,2019-07-22 12:00:00,12.98,16533.4,,,,
26,2019-07-22 12:05:00,13.076,16533.4,,,,
27,2019-07-22 12:10:00,13.173,19289,,,,
28,2019-07-22 12:15:00,13.173,22044.6,,,,
29,2019-07-22 12:20:00,13.269,24800.2,,,,
30,2019-07-22 12:25:00,13.269,24800.2,,,,
31,2019-07-22 12:30:00,13.269,26178,,,,
32,2019-07-22 12:35:00,13.269,31689.1,,,,
33,2019-07-22 12:40:00,13.269,30311.3,,,,
34,2019-07-22 12:45:00,13.269,33066.9,,,,
35,2019-07-22 12:50:00,13.365,34444.7,,,,
36,2019-07-22 12:55:00,13.365,30311.3,,,,
37,2019-07-22 13:00:00,13.461,34444.7,,,,
38,2019-07-22 13:05:00,13.461,26178,,,,
39,2019-07-22 13:10:00,13.461,27555.7,,,,
40,2019-07-22 13:15:00,13.558,27555.7,,,,
41,2019-07-22 13:20:00,13.365,28933.5,,,,
42,2019-07-22 13:25:00,13.365,34444.7,,,,
43,2019-07-22 13:30:00,13.558,30311.3,,,,
44,2019-07-22 13:35:00,13.365,20666.8,,,,
