Plot Title: Reyk_Incubator_17Jul18,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349962, SEN S/N: 10349962)","Intensity, Lux (LGR S/N: 10349962, SEN S/N: 10349962)",Coupler Detached (LGR S/N: 10349962),Coupler Attached (LGR S/N: 10349962),Host Connected (LGR S/N: 10349962),Stopped (LGR S/N: 10349962),End Of File (LGR S/N: 10349962)
1,2018-07-17 10:26:50,26.683,0,,,,,
2,2018-07-17 10:27:08,,,Logged,,,,
3,2018-07-17 10:27:28,,,,Logged,Logged,,
4,2018-07-17 10:27:40,,,Logged,,,,
5,2018-07-17 10:31:50,26.39,96.9,,,,,
6,2018-07-17 10:36:50,25.513,936.5,,,,,
7,2018-07-17 10:41:50,24.158,1463.9,,,,,
8,2018-07-17 10:46:50,22.717,118.4,,,,,
9,2018-07-17 10:51:50,21.569,107.6,,,,,
10,2018-07-17 10:56:50,20.901,107.6,,,,,
11,2018-07-17 11:01:50,20.424,107.6,,,,,
12,2018-07-17 11:06:50,20.234,344.4,,,,,
13,2018-07-17 11:11:50,19.853,129.2,,,,,
14,2018-07-17 11:16:50,19.472,86.1,,,,,
15,2018-07-17 11:21:50,19.187,64.6,,,,,
16,2018-07-17 11:26:50,18.711,64.6,,,,,
17,2018-07-17 11:31:50,18.236,53.8,,,,,
18,2018-07-17 11:36:50,17.855,53.8,,,,,
19,2018-07-17 11:41:50,17.284,53.8,,,,,
20,2018-07-17 11:46:50,16.808,64.6,,,,,
21,2018-07-17 11:51:50,16.523,64.6,,,,,
22,2018-07-17 11:56:50,16.141,64.6,,,,,
23,2018-07-17 12:01:50,15.951,53.8,,,,,
24,2018-07-17 12:06:50,15.76,64.6,,,,,
25,2018-07-17 12:11:50,15.664,75.3,,,,,
26,2018-07-17 12:16:50,15.569,64.6,,,,,
27,2018-07-17 12:21:50,15.473,53.8,,,,,
28,2018-07-17 12:26:50,15.473,1463.9,,,,,
29,2018-07-17 12:31:50,15.187,215.3,,,,,
30,2018-07-17 12:36:50,14.996,430.6,,,,,
31,2018-07-17 12:41:50,14.804,43.1,,,,,
32,2018-07-17 12:46:50,14.709,333.7,,,,,
33,2018-07-17 12:51:50,14.517,409,,,,,
34,2018-07-17 12:56:50,14.709,1227.1,,,,,
35,2018-07-17 13:01:50,16.046,1367,,,,,
36,2018-07-17 13:06:50,16.999,538.2,,,,,
